pair,slot,algorithm,our_cost,nx_cost,verdict
67,07:30,ucs,834.556768,834.556768,PASS
67,07:30,astar,834.556768,834.556768,PASS
68,07:30,ucs,929.908571,929.908571,PASS
68,07:30,astar,929.908571,929.908571,PASS
69,07:30,ucs,849.814429,849.814429,PASS
69,07:30,astar,849.814429,849.814429,PASS
70,07:30,ucs,731.851250,731.851250,PASS
70,07:30,astar,731.851250,731.851250,PASS
71,07:30,ucs,439.647911,439.647911,PASS
71,07:30,astar,439.647911,439.647911,PASS
72,07:30,ucs,984.274625,984.274625,PASS
72,07:30,astar,984.274625,984.274625,PASS
73,07:30,ucs,772.092893,772.092893,PASS
73,07:30,astar,772.092893,772.092893,PASS
74,07:30,ucs,1158.385446,1158.385446,PASS
74,07:30,astar,1158.385446,1158.385446,PASS
75,07:30,ucs,776.907161,776.907161,PASS
75,07:30,astar,776.907161,776.907161,PASS
76,07:30,ucs,574.611536,574.611536,PASS
76,07:30,astar,574.611536,574.611536,PASS
77,07:30,ucs,400.378821,400.378821,PASS
77,07:30,astar,400.378821,400.378821,PASS
78,07:30,ucs,588.805393,588.805393,PASS
78,07:30,astar,588.805393,588.805393,PASS
79,07:30,ucs,387.995786,387.995786,PASS
79,07:30,astar,387.995786,387.995786,PASS
80,07:30,ucs,583.061929,583.061929,PASS
80,07:30,astar,583.061929,583.061929,PASS
81,07:30,ucs,918.423018,918.423018,PASS
81,07:30,astar,918.423018,918.423018,PASS
82,07:30,ucs,707.150500,707.150500,PASS
82,07:30,astar,707.150500,707.150500,PASS
83,07:30,ucs,429.011000,429.011000,PASS
83,07:30,astar,429.011000,429.011000,PASS
84,07:30,ucs,748.147000,748.147000,PASS
84,07:30,astar,748.147000,748.147000,PASS
85,07:30,ucs,402.493750,402.493750,PASS
85,07:30,astar,402.493750,402.493750,PASS
86,07:30,ucs,466.025000,466.025000,PASS
86,07:30,astar,466.025000,466.025000,PASS
87,07:30,ucs,717.308411,717.308411,PASS
87,07:30,astar,717.308411,717.308411,PASS
88,07:30,ucs,627.382250,627.382250,PASS
88,07:30,astar,627.382250,627.382250,PASS
89,07:30,ucs,245.510250,245.510250,PASS
89,07:30,astar,245.510250,245.510250,PASS
90,07:30,ucs,371.745714,371.745714,PASS
90,07:30,astar,371.745714,371.745714,PASS
91,07:30,ucs,362.972500,362.972500,PASS
91,07:30,astar,362.972500,362.972500,PASS
92,07:30,ucs,691.467482,691.467482,PASS
92,07:30,astar,691.467482,691.467482,PASS
93,07:30,ucs,902.834357,902.834357,PASS
93,07:30,astar,902.834357,902.834357,PASS
94,07:30,ucs,705.062161,705.062161,PASS
94,07:30,astar,705.062161,705.062161,PASS
95,07:30,ucs,718.632500,718.632500,PASS
95,07:30,astar,718.632500,718.632500,PASS
96,07:30,ucs,720.031125,720.031125,PASS
96,07:30,astar,720.031125,720.031125,PASS
97,07:30,ucs,883.146679,883.146679,PASS
97,07:30,astar,883.146679,883.146679,PASS
98,07:30,ucs,458.250000,458.250000,PASS
98,07:30,astar,458.250000,458.250000,PASS
99,07:30,ucs,571.011000,571.011000,PASS
99,07:30,astar,571.011000,571.011000,PASS
100,07:30,ucs,682.026643,682.026643,PASS
100,07:30,astar,682.026643,682.026643,PASS
101,07:30,ucs,1037.742179,1037.742179,PASS
101,07:30,astar,1037.742179,1037.742179,PASS
102,07:30,ucs,799.478036,799.478036,PASS
102,07:30,astar,799.478036,799.478036,PASS
103,07:30,ucs,501.205036,501.205036,PASS
103,07:30,astar,501.205036,501.205036,PASS
104,07:30,ucs,641.566571,641.566571,PASS
104,07:30,astar,641.566571,641.566571,PASS
105,07:30,ucs,697.609107,697.609107,PASS
105,07:30,astar,697.609107,697.609107,PASS
106,07:30,ucs,685.159375,685.159375,PASS
106,07:30,astar,685.159375,685.159375,PASS
107,07:30,ucs,900.591375,900.591375,PASS
107,07:30,astar,900.591375,900.591375,PASS
108,07:30,ucs,621.195071,621.195071,PASS
108,07:30,astar,621.195071,621.195071,PASS
109,07:30,ucs,764.943250,764.943250,PASS
109,07:30,astar,764.943250,764.943250,PASS
110,07:30,ucs,402.273446,402.273446,PASS
110,07:30,astar,402.273446,402.273446,PASS
111,07:30,ucs,749.595768,749.595768,PASS
111,07:30,astar,749.595768,749.595768,PASS
112,07:30,ucs,808.384786,808.384786,PASS
112,07:30,astar,808.384786,808.384786,PASS
113,07:30,ucs,733.308000,733.308000,PASS
113,07:30,astar,733.308000,733.308000,PASS
114,07:30,ucs,689.759500,689.759500,PASS
114,07:30,astar,689.759500,689.759500,PASS
115,07:30,ucs,739.272214,739.272214,PASS
