pair,start,goal,route_changed,time_s_0730,time_s_2200,dist_m_0730,dist_m_2200
105,n1287,n0978,0,697.6,460.5,4596.8,4596.8
106,n1088,n1622,1,685.2,527.5,4704.8,4691.4
107,n0537,n1229,1,900.6,667.4,5374.8,6088.5
108,n1873,n1296,1,621.2,441.7,3733.0,4072.4
109,n0298,n0039,1,764.9,572.8,4245.1,3984.8
110,n1878,n0410,1,402.3,272.0,1889.7,1908.0
111,n0301,n0874,0,749.6,463.9,3967.3,3967.3
112,n2073,n1087,1,808.4,582.8,3995.0,4538.6
113,n0543,n1430,1,733.3,513.5,3179.1,4493.6
114,n0282,n1001,1,689.8,478.8,4513.9,3950.4
115,n0647,n1795,0,739.3,535.2,5032.8,5032.8
116,n1240,n0033,1,427.4,378.8,3613.3,3657.5
117,n1227,n0425,0,472.5,336.7,3471.7,3471.7
118,n0551,n1084,1,888.2,569.6,4918.6,5015.2
119,n0473,n0439,1,547.3,407.0,3565.5,3538.3
120,n1155,n0863,1,574.6,428.4,4015.4,4012.8
121,n1405,n0834,1,594.6,446.7,4146.9,4150.2
122,n1082,n2071,1,957.5,725.5,4408.3,4639.4
123,n1735,n1134,1,392.9,326.9,3097.7,3078.9
124,n0181,n0015,1,425.1,331.1,2904.4,2914.4
125,n1367,n0536,1,406.2,287.2,2267.9,2256.3
126,n1073,n0662,1,620.0,399.2,3232.7,3472.7
127,n1810,n1752,1,719.8,527.6,4846.0,4843.8
128,n0040,n0459,1,772.0,525.1,4321.7,4267.3
129,n0309,n0611,1,771.0,489.5,3668.6,4008.5
130,n0148,n1513,1,986.8,653.2,6217.9,6190.3
131,n0607,n1761,1,1087.7,722.9,5593.1,5683.0
132,n0523,n0172,1,401.6,280.3,1845.5,1822.6
133,n1263,n1494,1,752.3,480.2,3550.4,3558.9
134,n0164,n1466,1,344.9,271.3,2123.1,2489.5
135,n0861,n1023,1,378.8,243.5,1945.6,1958.4
136,n0422,n1449,1,450.0,345.1,2010.1,2582.4
137,n1665,n0634,1,595.2,425.6,4425.5,4109.5
138,n0970,n0666,1,452.8,343.8,3559.1,3751.8
139,n0726,n1689,1,402.4,384.9,3717.4,3705.3
140,n0102,n0735,0,351.8,215.4,2016.5,2016.5
141,n1361,n1687,1,255.9,175.6,1640.6,1821.5
142,n1017,n1093,1,937.7,664.6,5602.9,5162.6
143,n0653,n0443,1,537.0,407.4,2190.3,2039.1
144,n1567,n0159,1,372.8,205.6,2138.9,2157.3
145,n1928,n0912,1,635.4,415.8,3041.6,3467.6
146,n0818,n1886,1,629.9,441.0,4633.5,4642.8
147,n1433,n1251,0,601.8,397.0,3250.6,3250.6
148,n0933,n0914,1,655.3,488.7,4358.7,4808.7
149,n0097,n0792,1,381.5,310.7,2817.9,2790.7
150,n1633,n1345,1,637.1,493.1,3765.6,4121.3
151,n1142,n0285,1,844.7,686.3,5766.6,5918.5
152,n1144,n1439,1,630.9,522.8,4034.6,3948.2
153,n2087,n1638,1,397.4,295.0,2031.2,2031.0
154,n1357,n0114,1,497.9,335.1,2692.1,2693.3
155,n0473,n1070,1,602.7,396.0,3122.7,3117.7
156,n0732,n1088,1,952.2,694.2,5881.5,6140.5
157,n0157,n0445,1,521.2,333.0,2187.9,2782.0
158,n1780,n1416,1,596.7,433.6,4639.3,4594.7
159,n1285,n1788,0,929.5,571.3,5453.8,5453.8
160,n2095,n0474,1,614.4,437.5,4229.9,4233.2
161,n1578,n0779,1,354.6,259.6,2516.4,2127.3
162,n1044,n0182,0,359.7,224.0,1771.2,1771.2
163,n1787,n0007,1,514.4,374.2,4026.5,4036.7
164,n0808,n1492,0,771.4,559.3,5157.7,5157.7
165,n1767,n0287,1,674.0,461.7,4624.3,4579.7
166,n1353,n1286,1,782.1,505.8,4203.5,4200.6
167,n0511,n1231,1,827.5,581.1,4795.1,4776.6
168,n2078,n1267,0,416.3,288.1,3023.3,3023.3
169,n1673,n1337,1,757.8,546.4,4099.4,4173.0
170,n1649,n1212,1,1199.8,880.3,7419.0,7971.3
171,n0522,n0786,1,778.7,512.8,4417.9,4429.1
172,n1723,n1553,1,422.9,387.1,3663.2,3685.5
173,n0713,n1233,0,423.2,313.1,2996.0,2996.0
174,n1664,n0002,0,621.7,444.5,3754.1,3754.1
175,n1245,n1176,1,784.5,629.9,5261.3,5575.4
176,n0861,n1761,1,939.5,575.7,5074.4,5228.8
177,n1320,n1905,1,501.8,368.4,3871.6,3706.6
178,n1810,n1812,0,460.0,364.8,3689.0,3689.0
179,n0876,n2094,1,857.1,574.7,4511.1,4757.6
180,n1939,n0696,0,447.9,437.1,2934.3,2934.3
181,n0348,n1163,1,273.6,161.1,1691.2,1686.9
182,n2112,n1373,1,694.1,545.9,5197.8,5248.6
183,n1272,n0921,1,450.7,258.0,2776.3,2794.6
184,n0816,n0604,0,443.1,299.8,2382.1,2382.1
185,n0101,n0190,1,451.0,342.8,2361.7,2314.9
186,n1003,n1947,1,861.4,598.4,4378.5,4469.8
187,n0299,n1866,0,491.7,325.7,2262.6,2262.6
188,n1698,n0797,0,611.6,513.4,3625.8,3625.8
189,n1573,n2025,1,315.2,218.6,1445.5,1465.2
190,n1637,n1000,0,314.5,241.2,1854.8,1854.8
191,n0605,n0023,1,947.5,710.3,5605.4,5587.5
192,n0437,n1742,1,359.8,263.1,1736.1,1727.3
193,n1903,n0206,0,202.4,171.7,1575.0,1575.0
194,n1021,n0498,0,695.9,476.1,3478.8,3478.8
195,n1870,n0547,1,769.2,561.0,4890.1,4895.1
196,n1904,n1300,0,220.9,141.2,1510.7,1510.7
197,n1813,n2068,1,631.5,427.4,4162.6,3553.4
198,n1748,n1827,1,926.6,628.5,5826.2,5810.0
199,n0652,n1945,0,561.1,396.3,4027.6,4027.6
